,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,-0.23501694,0.49553987,0.45114467,0.7078832,-0.27642912,-0.32480213,0.33182648,0.16978309,-0.71601385,-0.26678336,0.180815,0.2662035,0.43556884,0.2940627,-0.848103,0.063340284,0.14779834,-0.22488986,-0.6418602,-0.073235795,0.7668413,0.33753434,0.43714887,-0.022095112,1.146313,-0.17605922,-0.61164486,-0.6667,0.05391028,-0.5413257,-0.26594642,-0.06807364,0.64934605,-0.29466552,0.14799288,0.12947252,0.5096304,-0.35824817,0.3794239,0.10320974,0.027268471,0.38931724,-0.7466775,-0.63723767,0.16490012,-0.7383638,0.13993149,0.80997324
1,-0.023429584,0.037566643,0.060536012,0.065141395,0.45025715,1.0324738,0.37991473,-0.36285445,-0.4590392,0.41969407,-0.60276246,0.15960723,0.38188156,-0.08879836,-0.63053167,-0.4059805,0.39474797,-0.6690072,-0.1243704,0.32411537,-0.004216053,-0.4769014,0.23097716,0.021339681,-0.22072342,-1.0529912,0.08941028,-0.012200576,0.67761177,0.28758606,0.04656796,-0.17410383,0.4017127,-0.49022946,0.08629818,0.66120344,0.18191454,-0.104239546,0.02465736,-0.042751983,-0.57565165,0.75892234,0.42611322,0.44275627,0.65966314,-0.38920614,1.1197641,0.15213193
2,-0.23582524,-0.45384622,0.20613858,0.4807894,-0.12491058,-0.12806277,-0.40826938,0.69191486,-0.0023727296,-0.45225674,-0.18553966,0.04544186,0.4713372,-0.97116894,-0.12494974,-0.380333,-0.07686295,0.27993348,0.22532667,0.5902584,0.24169075,0.12827854,0.42638853,-0.1435928,-0.6380779,0.3444603,-0.59269726,-0.21745834,0.5239825,-0.4600271,-0.5616394,-0.6700383,0.26512024,0.12526193,0.52280825,0.73849875,0.6568372,-0.3874123,0.27801234,-0.25263053,0.057618506,0.54522717,0.37230337,0.18002185,0.37063393,-0.32012674,0.8943835,0.20830485
3,-0.27142742,0.66850287,0.49819136,0.6976444,-0.33018053,-0.33206218,0.50115836,0.07322731,-0.530953,-0.3614459,0.20495075,0.20242666,0.42143744,0.084715456,-0.58012444,0.11832373,0.024923408,-0.1620297,-0.66325176,0.021576634,0.6736864,0.32570276,0.44061825,-0.030308329,1.1606169,-0.014834101,-0.4998949,-0.5207886,0.045281284,-0.40731728,-0.32626665,-0.19760193,0.53327477,-0.18747386,0.10504383,-0.0047686575,0.56509686,-0.16117543,0.2805913,0.025455948,-0.08049203,0.47776532,-0.7132905,-0.53393155,0.18981385,-0.7725595,0.2414565,0.7491192
4,0.10316512,0.22542788,0.0651205,0.6994692,0.044547204,-0.22430253,0.4594642,0.7646361,0.078178324,0.1229307,-0.057486366,0.5291397,0.92078984,-0.3515736,0.34742987,-0.15665495,0.031857215,0.004774835,0.010751148,0.29584563,0.47575584,-0.26004928,0.5119417,-0.81259173,0.10700789,0.38665375,-1.0969229,0.036638666,0.0008007133,0.042370073,-0.68158424,-0.25652987,-0.10077595,-0.0045131096,0.23167314,0.18709981,-0.20722562,0.5192214,0.037120014,-0.14620194,-0.13576095,-0.27867058,0.4949037,0.19734453,0.39388403,0.06353745,1.2431676,0.17669156
5,-0.20703895,-0.63385713,-0.104252115,0.27151385,0.7188208,-0.2597697,0.62412184,0.19742109,-0.20349187,-0.52371067,-0.25683844,-0.1610564,-0.08263251,-0.007899069,-1.0663533,0.25630847,0.05923999,-0.14165877,-0.014190992,0.66583294,0.74073243,-0.8576978,0.9371683,-0.13128857,0.039515756,0.36677396,-0.2910389,0.13778543,0.23973592,-0.08885668,-0.32194233,0.48302713,0.7139674,0.22727269,0.537699,0.58951926,-0.10956277,0.26409343,-0.122995004,0.25979683,0.08938277,-0.3034665,-0.29096332,-0.5446069,0.21337414,-0.5365394,-0.02708711,0.6349725
6,-0.40767115,-0.53648806,-0.06916734,0.23792674,0.45354137,-0.144276,0.4014866,0.48942068,-0.4576134,-0.43608424,-0.23313323,-0.2043312,0.22054902,-0.005132164,-0.74182975,0.26081392,0.19525485,-0.34556723,0.01375389,0.62282383,0.3860086,-0.89278764,0.7016397,-0.21805224,0.05926913,0.30154535,-0.044264194,-0.2409263,0.31853503,-0.51264036,-0.044356693,0.7395117,0.3090225,0.051165964,0.3693752,0.6259152,-0.43149364,0.45733604,0.4164081,0.21877779,0.23227283,-0.30989504,-0.07252418,-0.702086,0.067748725,-0.40318972,0.26018322,0.47116765
7,0.16816792,-0.587161,-0.77622235,0.65502274,0.58392483,-0.035090405,0.2597751,-0.02010159,-0.50363064,0.11224582,-0.42170972,0.31574422,0.08769217,-0.03622221,-0.09631672,-0.04456203,-1.0132656,-0.3417398,-0.28688776,0.9053158,0.5693809,-0.2890681,0.4946518,0.23383804,0.59698397,-0.024856793,0.09839732,0.038680594,0.52017885,-0.9954274,0.20802915,0.37783393,-0.36922976,-0.07673094,-0.10864866,-0.19875093,0.44697574,0.036513112,-0.39604184,0.045649152,-0.17841104,-0.40864307,-0.48691124,0.2865704,-0.017814156,-0.30390143,1.1139903,0.5412189
8,-0.29270953,-0.101673245,0.101227075,0.46163395,-0.032165986,-0.18378446,-0.10662139,-0.41165915,0.1799285,-0.4026759,-0.06331537,-0.32835636,0.3905888,-0.73064685,-0.29967842,-0.14817302,-0.15701675,0.42251983,-0.08582152,0.08093669,0.76603466,0.5369899,0.17810354,-0.98658097,-0.42946702,0.00951116,-0.27228576,0.07698256,0.06636905,-0.0631356,-1.1696224,-0.71378386,0.24833219,-0.43856362,0.5737958,0.15963532,0.20666549,-0.26044473,0.48151955,0.22463131,-0.39919052,0.49868548,0.7737216,-0.33163318,-0.5466334,-0.72898537,1.1004357,0.08967314
9,0.1136586,0.14245746,0.081927344,0.99468374,-0.50077534,-0.077659674,0.3280934,0.09664886,0.21472248,0.38447317,-0.28790936,0.2870446,1.155105,-0.44126275,0.15431988,0.6665418,0.19522917,0.065723,-0.27263737,0.7399561,0.565722,0.16154593,0.42397925,-0.67210144,-0.013382847,0.1163516,-0.77824414,0.46804997,-0.31113404,0.02280118,-0.40758008,0.21601833,-0.028485479,-0.058059506,0.6289166,0.6948215,-0.2941584,0.29000485,-0.14644293,0.8811266,0.10760695,0.20815746,0.02393672,-0.049745496,0.66845036,0.14652954,1.2380257,0.06239072
